Muhammad Abduh,Jamal ad-Din al-Afghani
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Immanuel Kant
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Hegel
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Karl Marx
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Friedrich Engels
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Max Weber
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Georg Simmel
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Wilhelm Dilthey
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Emil Lask
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Georges Sorel
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Vladimir Lenin
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Rosa Luxemburg
Gy\xc3\xb6rgy Luk\xc3\xa1cs,Kierkegaard
The Frankfurt School,Gy\xc3\xb6rgy Luk\xc3\xa1cs
The Praxis School,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Budapest School (Luk\xc3\xa1cs),Gy\xc3\xb6rgy Luk\xc3\xa1cs
Walter Benjamin,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Andrew Arato,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Lucien Goldmann,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Imre Lakatos,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Karl Polanyi,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Guy Debord,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Tom Rockmore,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Moishe Postone,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Richard D. Wolff,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Costanzo Preve,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Leszek Ko\xc5\x82akowski,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Karel Kos\xc3\xadk,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Fredric Jameson,Gy\xc3\xb6rgy Luk\xc3\xa1cs
Jean-Fran\xc3\xa7ois Lyotard,Michel de Montaigne
Jean-Fran\xc3\xa7ois Lyotard,Immanuel Kant
Jean-Fran\xc3\xa7ois Lyotard,Karl Marx
Jean-Fran\xc3\xa7ois Lyotard,Sigmund Freud
Jean-Fran\xc3\xa7ois Lyotard,Ludwig Wittgenstein
Jean-Fran\xc3\xa7ois Lyotard,Talcott Parsons
Jean-Fran\xc3\xa7ois Lyotard,Martin Heidegger
Jean-Fran\xc3\xa7ois Lyotard,\xc3\x89mile Durkheim
Jean-Fran\xc3\xa7ois Lyotard,J. L. Austin
Jean-Fran\xc3\xa7ois Lyotard,Friedrich Wilhelm Nietzsche
Jean-Fran\xc3\xa7ois Lyotard,Jacques Lacan
Jean-Fran\xc3\xa7ois Lyotard,Pierre Klossowski
Richard Rorty,Jean-Fran\xc3\xa7ois Lyotard
Roland Barthes,Jean-Fran\xc3\xa7ois Lyotard
Alain Badiou,Jean-Fran\xc3\xa7ois Lyotard
Margret Grebowicz,Jean-Fran\xc3\xa7ois Lyotard
Ernst Mach,Andreas von Ettingshausen
Ernst Mach,Gustav Fechner
Ernst Mach,Carl Ludwig
Vienna Circle,Ernst Mach
Ludwig Boltzmann,Ernst Mach
Albert Einstein,Ernst Mach
Wolfgang Pauli,Ernst Mach
William James,Ernst Mach
Wilhelm Kienzl,Ernst Mach
Pierre Duhem,Ernst Mach
Niccol\xc3\xb2 Machiavelli,Xenophon
Niccol\xc3\xb2 Machiavelli,Plutarch
Niccol\xc3\xb2 Machiavelli,Tacitus
Niccol\xc3\xb2 Machiavelli,Polybius
Niccol\xc3\xb2 Machiavelli,Cicero
Niccol\xc3\xb2 Machiavelli,Sallust
Niccol\xc3\xb2 Machiavelli,Livy
Niccol\xc3\xb2 Machiavelli,Thucydides
Niccol\xc3\xb2 Machiavelli,Lucius Quinctius Cincinnatus
Niccol\xc3\xb2 Machiavelli,Dante Alighieri
Political Realism,Niccol\xc3\xb2 Machiavelli
Francis Bacon,Niccol\xc3\xb2 Machiavelli
Thomas Hobbes,Niccol\xc3\xb2 Machiavelli
James Harrington (author),Niccol\xc3\xb2 Machiavelli
Jean-Jacques Rousseau,Niccol\xc3\xb2 Machiavelli
Giambattista Vico,Niccol\xc3\xb2 Machiavelli
Edward Gibbon,Niccol\xc3\xb2 Machiavelli
David Hume,Niccol\xc3\xb2 Machiavelli
John Adams,Niccol\xc3\xb2 Machiavelli
Vincenzo Cuoco,Niccol\xc3\xb2 Machiavelli
Hegel,Niccol\xc3\xb2 Machiavelli
Friedrich Nietzsche,Niccol\xc3\xb2 Machiavelli
Vilfredo Pareto,Niccol\xc3\xb2 Machiavelli
Antonio Gramsci,Niccol\xc3\xb2 Machiavelli
Louis Althusser,Niccol\xc3\xb2 Machiavelli
Thomas Schelling,Niccol\xc3\xb2 Machiavelli
Antonio Negri,Niccol\xc3\xb2 Machiavelli
Kenneth Waltz,Niccol\xc3\xb2 Machiavelli
Baruch Spinoza,Niccol\xc3\xb2 Machiavelli
Denis Diderot,Niccol\xc3\xb2 Machiavelli
Carl Schmitt,Niccol\xc3\xb2 Machiavelli
Giulio Andreotti,Niccol\xc3\xb2 Machiavelli
Philip Pettit,Niccol\xc3\xb2 Machiavelli
Leo Strauss,Niccol\xc3\xb2 Machiavelli
Alasdair MacIntyre,Aristotle
Alasdair MacIntyre,Augustine of Hippo
Alasdair MacIntyre,Thomas Aquinas
Alasdair MacIntyre,Elizabeth Anscombe
Alasdair MacIntyre,Kierkegaard
Alasdair MacIntyre,Karl Marx
Alasdair MacIntyre,Nietzsche
Alasdair MacIntyre,Hegel
Alasdair MacIntyre,R. G. Collingwood
Alasdair MacIntyre,Imre Lakatos
Alasdair MacIntyre,Thomas Kuhn
Alasdair MacIntyre,John Henry Newman
Alasdair MacIntyre,Edith Stein
Postliberal theology,Alasdair MacIntyre
Stanley Hauerwas,Alasdair MacIntyre
Radical Orthodoxy,Alasdair MacIntyre
Rod Dreher,Alasdair MacIntyre
Edward Feser,Alasdair MacIntyre
J. L. Mackie,David Hume
J. L. Mackie,John Anderson (philosopher)
Richard Joyce (philosopher),J. L. Mackie
Colin MacLeod (philosopher) (page does not exist),J. L. Mackie
Michael Martin (philosopher),J. L. Mackie
Salomon Maimon,Maimonides
Salomon Maimon,Immanuel Kant
Salomon Maimon,Karl Leonhard Reinhold
Salomon Maimon,David Hume
Salomon Maimon,Gottfried Wilhelm Leibniz
Salomon Maimon,Christian Wolff (philosopher)
Salomon Maimon,Baruch Spinoza
Karl Leonhard Reinhold,Salomon Maimon
J. G. Fichte,Salomon Maimon
Gilles Deleuze,Salomon Maimon
Maimonides,Talmud
Maimonides,Aristotle
Maimonides,Al-Farabi
Maimonides,Avicenna
Maimonides,Avempace
Maimonides,Averroes
Maimonides,Al-Ghazali
Jeremiah Stamler,Maimonides
Baruch Spinoza,Maimonides
Albertus Magnus,Maimonides
Thomas Aquinas,Maimonides
James Joyce,Maimonides
Jean Bodin,Maimonides
Gottfried Leibniz,Maimonides
Isaac Newton,Maimonides
Leo Strauss,Maimonides
Michael Friedl\xc3\xa4nder,Maimonides
Emmanuel Levinas,Maimonides
Maine de Biran,Jean-Jacques Rousseau
Maine de Biran,Antoine Destutt de Tracy
Maine de Biran,Charles Bonnet
Maine de Biran,Pierre Cabanis
Maine de Biran,John Locke
Maine de Biran,\xc3\x89tienne Bonnot de Condillac
Maine de Biran,Francis Bacon
Maine de Biran,Descartes
Maine de Biran,Gottfried Wilhelm Leibniz
Maine de Biran,Stoicism
Victor Cousin,Maine de Biran
Pierre Janet,Maine de Biran
Fran\xc3\xa7ois Picavet,Maine de Biran
Henri Bergson,Maine de Biran
Louis Lavelle,Maine de Biran
\xc3\x89mile Boutroux,Maine de Biran
Maurice Blondel,Maine de Biran
Michel Henry,Maine de Biran
F\xc3\xa9lix Ravaisson-Mollien,Maine de Biran
Norman Malcolm,Ludwig Wittgenstein
Norman Malcolm,Kierkegaard
Norman Malcolm,Descartes
Norman Malcolm,Oets Kolk Bouwsma
Oets Kolk Bouwsma,Norman Malcolm
Sydney Shoemaker,Norman Malcolm
Nicolas Malebranche,Descartes
Nicolas Malebranche,Augustine of Hippo
David Hume,Nicolas Malebranche
Gottfried Wilhelm Leibniz,Nicolas Malebranche
George Berkeley,Nicolas Malebranche
Giambattista Vico,Nicolas Malebranche
Montesquieu,Nicolas Malebranche
J.-J. Rousseau,Nicolas Malebranche
Joseph de Maistre,Nicolas Malebranche
Louis Gabriel Ambroise de Bonald,Nicolas Malebranche
Louis Lavelle,Nicolas Malebranche
Jacob Bernoulli,Nicolas Malebranche
Ernst Mally,Alexius Meinong
Edward Zalta,Ernst Mally
Bernard Mandeville,Descartes
Bernard Mandeville,William Petty
Adam Smith,Bernard Mandeville
Friedrich Hayek,Bernard Mandeville
Gabriel Marcel,Henri Bergson
Gabriel Marcel,Martin Buber
Gabriel Marcel,Martin Heidegger
Gabriel Marcel,Kierkegaard
Gabriel Marcel,Edmund Husserl
Gabriel Marcel,Fran\xc3\xa7ois Mauriac
Gabriel Marcel,Josiah Royce
Gabriel Marcel,Friedrich Schelling
Pierre Boutang,Gabriel Marcel
Emmanuel Levinas,Gabriel Marcel
Walker Percy,Gabriel Marcel
Jean Wahl,Gabriel Marcel
Paul Ricoeur,Gabriel Marcel
Ruth Barcan Marcus,Willard Van Orman Quine
Ruth Barcan Marcus,Arthur Prior
Saul Kripke,Ruth Barcan Marcus
Herbert Marcuse,Immanuel Kant
Herbert Marcuse,Hegel
Herbert Marcuse,Karl Marx
Herbert Marcuse,Sigmund Freud
Herbert Marcuse,Edmund Husserl
Herbert Marcuse,Friedrich Nietzsche
Herbert Marcuse,Martin Heidegger
Norman O. Brown,Herbert Marcuse
Angela Davis,Herbert Marcuse
J\xc3\xbcrgen Habermas,Herbert Marcuse
Abbie Hoffman,Herbert Marcuse
Douglas Kellner,Herbert Marcuse
Bob Black,Herbert Marcuse
Hakim Bey,Herbert Marcuse
Andrew Feenberg,Herbert Marcuse
Joseph Mar\xc3\xa9chal,Thomas Aquinas
Joseph Mar\xc3\xa9chal,Immanuel Kant
Karl Rahner,Joseph Mar\xc3\xa9chal
Bernard Lonergan,Joseph Mar\xc3\xa9chal
Richard De Smet,Joseph Mar\xc3\xa9chal
Jacques Maritain,Aristotle
Jacques Maritain,Thomas Aquinas
Jacques Maritain,Charles Maurras
Jacques Maritain,\xc3\x89tienne Gilson
Jean Daujat,Jacques Maritain
John F. X. Knasas,Jacques Maritain
Ivan Illich,Jacques Maritain
John Haddox,Jacques Maritain
Yves Simon,Jacques Maritain
Yves Congar,Jacques Maritain
Mortimer J. Adler,Jacques Maritain
Svetozar Markovi\xc4\x87,Nikolai Chernyshevsky
Svetozar Markovi\xc4\x87,Karl Marx
Nikola Pa\xc5\xa1i\xc4\x87,Svetozar Markovi\xc4\x87
Ljubodrag Simonovi\xc4\x87,Svetozar Markovi\xc4\x87
Odo Marquard,Immanuel Kant
Odo Marquard,Sigmund Freud
Odo Marquard,Arnold Gehlen
Odo Marquard,Max M\xc3\xbcller (Catholic intellectual)
Gerd B. Achenbach,Odo Marquard
Karl Marx,Charles Babbage
Karl Marx,Hegel
Karl Marx,Ludwig Feuerbach
Karl Marx,Baruch Spinoza
Karl Marx,Pierre-Joseph Proudhon
Karl Marx,Max Stirner
Karl Marx,Adam Smith
Karl Marx,Voltaire
Karl Marx,David Ricardo
Karl Marx,Giambattista Vico
Karl Marx,Maximilien Robespierre
Karl Marx,Jean-Jacques Rousseau
Karl Marx,William Shakespeare
Karl Marx,Johann Wolfgang von Goethe
Karl Marx,Claude Adrien Helv\xc3\xa9tius
Karl Marx,Baron d\'Holbach
Karl Marx,Justus von Liebig
Karl Marx,Charles Darwin
Karl Marx,Charles Fourier
Karl Marx,Robert Owen
Karl Marx,Moses Hess
Karl Marx,Friedrich Engels
Karl Marx,Fran\xc3\xa7ois Guizot
Karl Marx,Constantin Pecqueur
Karl Marx,Aristotle
Karl Marx,Epicurus
List of Marxists,Karl Marx
Damaris Cudworth Masham,Bible
Damaris Cudworth Masham,Plato
Damaris Cudworth Masham,Aristotle
Damaris Cudworth Masham,Plotinus
Damaris Cudworth Masham,Augustine of Hippo
Damaris Cudworth Masham,Scholasticism
Damaris Cudworth Masham,Thomas Aquinas
Damaris Cudworth Masham,Nicholas of Cusa
Damaris Cudworth Masham,Francisco Su\xc3\xa1rez
Damaris Cudworth Masham,Giordano Bruno
Damaris Cudworth Masham,Descartes
Damaris Cudworth Masham,Thomas Hobbes
Damaris Cudworth Masham,Pico della Mirandola
Damaris Cudworth Masham,Jakob Thomasius
Damaris Cudworth Masham,Pierre Gassendi
Damaris Cudworth Masham,Nicolas Malebranche
Damaris Cudworth Masham,Baruch Spinoza
Damaris Cudworth Masham,Jacques-B\xc3\xa9nigne Bossuet
Damaris Cudworth Masham,Blaise Pascal
Damaris Cudworth Masham,Christiaan Huygens
Damaris Cudworth Masham,Jacob Bernoulli
Damaris Cudworth Masham,Erhard Weigel
Damaris Cudworth Masham,Jakob Thomasius
Damaris Cudworth Masham,Gabriel Wagner
Damaris Cudworth Masham,Nicolas Steno
Damaris Cudworth Masham,Ramon Llull
Damaris Cudworth Masham,Confucius
John Locke,Damaris Cudworth Masham
Christian Wolff (philosopher),Damaris Cudworth Masham
Johannes Nikolaus Tetens,Damaris Cudworth Masham
Pierre Louis Moreau de Maupertuis,Damaris Cudworth Masham
Giambattista Vico,Damaris Cudworth Masham
Ernst Platner,Damaris Cudworth Masham
Ruggero Giuseppe Boscovich,Damaris Cudworth Masham
Charles Bonnet,Damaris Cudworth Masham
Denis Diderot,Damaris Cudworth Masham
David Hume,Damaris Cudworth Masham
Edmund Husserl,Damaris Cudworth Masham
Immanuel Kant,Damaris Cudworth Masham
Gabriel Wagner,Damaris Cudworth Masham
Louis de Bonald,Damaris Cudworth Masham
Bertrand Russell,Damaris Cudworth Masham
George Holmes Howison,Damaris Cudworth Masham
Bernardino Varisco,Damaris Cudworth Masham
Gregory Chaitin,Damaris Cudworth Masham
Kurt G\xc3\xb6del,Damaris Cudworth Masham
Martin Heidegger,Damaris Cudworth Masham
Lyndon LaRouche,Damaris Cudworth Masham
\xc3\x89milie du Ch\xc3\xa2telet,Damaris Cudworth Masham
Ferdinand Georg Frobenius,Damaris Cudworth Masham
Friedrich Nietzsche,Damaris Cudworth Masham
F\xc3\xa9lix Ravaisson-Mollien,Damaris Cudworth Masham
Henri Bergson,Damaris Cudworth Masham
Nicholas Rescher,Damaris Cudworth Masham
Gilles Deleuze,Damaris Cudworth Masham
Gabriel Tarde,Damaris Cudworth Masham
Theodore Adorno,Damaris Cudworth Masham
Pierre Louis Maupertuis,Gottfried Leibniz
Pierre Louis Maupertuis,Isaac Newton
Pierre Louis Maupertuis,Descartes
Pierre Louis Maupertuis,Nicolas Malebranche
Pierre Louis Maupertuis,William Harvey
Pierre Louis Maupertuis,George Berkeley
Leonhard Euler,Pierre Louis Maupertuis
Denis Diderot,Pierre Louis Maupertuis
Immanuel Kant,Pierre Louis Maupertuis
James Clerk Maxwell,Sir Isaac Newton
James Clerk Maxwell,Michael Faraday
Albert Einstein,James Clerk Maxwell
William McDougall (psychologist),Jean-Baptiste Lamarck
William McDougall (psychologist),Carl Jung
Thorstein Veblen,William McDougall (psychologist)
Konrad Lorenz,William McDougall (psychologist)
Cyril Burt,William McDougall (psychologist)
J. M. E. McTaggart,Hegel
J. M. E. McTaggart,T. H. Green
Peter Geach,J. M. E. McTaggart
Michael Dummett,J. M. E. McTaggart
Michael Oakeshott,J. M. E. McTaggart
George Herbert Mead,Josiah Royce
Herbert Blumer,George Herbert Mead
J\xc3\xbcrgen Habermas,George Herbert Mead
John Dewey,George Herbert Mead
Eugene Halton (page does not exist),George Herbert Mead
Charles W. Morris,George Herbert Mead
Alexius Meinong,David Hume
Alexius Meinong,Franz Brentano
Bertrand Russell,Alexius Meinong
Roderick Chisholm,Alexius Meinong
Ernst Mally,Alexius Meinong
Richard H\xc3\xb6nigswald,Alexius Meinong
H\xc3\xa9ctor-Neri Casta\xc3\xb1eda,Alexius Meinong
Panayot Butchvarov,Alexius Meinong
Terence Parsons,Alexius Meinong
Graham Priest,Alexius Meinong
Edward Zalta,Alexius Meinong
George Stout,Alexius Meinong
Mencius,Confucius
Timeline of Eastern philosophers,Mencius
Moses Mendelssohn,Maimonides
Moses Mendelssohn,Gotthold Ephraim Lessing
Moses Mendelssohn,David Fr\xc3\xa4nkel
David Friedl\xc3\xa4nder,Moses Mendelssohn
Salomon Maimon,Moses Mendelssohn
Maurice Merleau-Ponty,Henri Bergson
Maurice Merleau-Ponty,Eugen Fink
Maurice Merleau-Ponty,Martin Heidegger
Maurice Merleau-Ponty,Edmund Husserl
Maurice Merleau-Ponty,Kierkegaard
Maurice Merleau-Ponty,Kurt Koffka
Maurice Merleau-Ponty,Wolfgang K\xc3\xb6hler
Maurice Merleau-Ponty,Claude L\xc3\xa9vi-Strauss
Maurice Merleau-Ponty,Karl Marx
Maurice Merleau-Ponty,Friedrich Nietzsche
Maurice Merleau-Ponty,Jean-Paul Sartre
Maurice Merleau-Ponty,Ferdinand de Saussure
David Abram,Maurice Merleau-Ponty
Renaud Barbaras,Maurice Merleau-Ponty
Judith Butler,Maurice Merleau-Ponty
Cornelius Castoriadis,Maurice Merleau-Ponty
Paul Crowther,Maurice Merleau-Ponty
Arthur Danto,Maurice Merleau-Ponty
Gilles Deleuze,Maurice Merleau-Ponty
Hubert Dreyfus,Maurice Merleau-Ponty
James M. Edie,Maurice Merleau-Ponty
Nader El-Bizri,Maurice Merleau-Ponty
Michel Foucault,Maurice Merleau-Ponty
Amedeo Giorgi,Maurice Merleau-Ponty
Graham Harman,Maurice Merleau-Ponty
Don Ihde,Maurice Merleau-Ponty
Luce Irigaray,Maurice Merleau-Ponty
Galen Johnson,Maurice Merleau-Ponty
Nikolas Kompridis,Maurice Merleau-Ponty
Jacques Lacan,Maurice Merleau-Ponty
Jean Laplanche,Maurice Merleau-Ponty
Claude Lefort,Maurice Merleau-Ponty
Ron McClamrock,Maurice Merleau-Ponty
Jean-Paul Sartre,Maurice Merleau-Ponty
Edward Schillebeeckx,Maurice Merleau-Ponty
Gilbert Simondon,Maurice Merleau-Ponty
Evan Thompson,Maurice Merleau-Ponty
Francisco Varela,Maurice Merleau-Ponty
Dalibor Vesely,Maurice Merleau-Ponty
Paul Virilio,Maurice Merleau-Ponty
\xc3\x89mile Meyerson,Auguste Comte
\xc3\x89mile Meyerson,Immanuel Kant
\xc3\x89mile Meyerson,Albert Einstein
Gaston Bachelard,\xc3\x89mile Meyerson
Thomas Kuhn,\xc3\x89mile Meyerson
James Mill,David Hartley (philosopher)
James Mill,Dugald Stewart
James Mill,Jeremy Bentham
John Stuart Mill,James Mill
John Stuart Mill,Plato
John Stuart Mill,Aristotle
John Stuart Mill,Demosthenes
John Stuart Mill,Epicurus
John Stuart Mill,Thomas Aquinas
John Stuart Mill,Thomas Hobbes
John Stuart Mill,John Locke
John Stuart Mill,David Hume
John Stuart Mill,Charles Babbage
John Stuart Mill,George Berkeley
John Stuart Mill,Jeremy Bentham
John Stuart Mill,Francis Place
John Stuart Mill,James Mill
John Stuart Mill,Harriet Taylor Mill
John Stuart Mill,Adam Smith
John Stuart Mill,Nassau William Senior
John Stuart Mill,David Ricardo
John Stuart Mill,Alexis de Tocqueville
John Stuart Mill,Wilhelm von Humboldt
John Stuart Mill,Johann Wolfgang von Goethe
John Stuart Mill,Alexander Bain
John Stuart Mill,Auguste Comte
John Stuart Mill,Utopian socialism
John Stuart Mill,Jean-Fran\xc3\xa7ois Marmontel
John Stuart Mill,William Wordsworth
John Stuart Mill,Samuel Taylor Coleridge
John Stuart Mill,Johann Gottfried Herder
Social liberalism,John Stuart Mill
William James,John Stuart Mill
John Rawls,John Stuart Mill
Bertrand Russell,John Stuart Mill
Isaiah Berlin,John Stuart Mill
Karl Popper,John Stuart Mill
Ronald Dworkin,John Stuart Mill
H. L. A. Hart,John Stuart Mill
Peter Singer,John Stuart Mill
Wilhelm Dilthey,John Stuart Mill
Roger Crisp,John Stuart Mill
Henry George,John Stuart Mill
John Maynard Keynes,John Stuart Mill
Milton Friedman,John Stuart Mill
William MacAskill,John Stuart Mill
Miura Baien,Confucianism
Hoashi Banri (page does not exist),Miura Baien
Ivan Pavlov,Jacob Moleschott
Michel de Montaigne,Horace
Michel de Montaigne,Heraclitus
Michel de Montaigne,Sextus Empiricus
Michel de Montaigne,Seneca the Younger
Michel de Montaigne,Plutarch
Michel de Montaigne,Cato the Younger
William Shakespeare,Michel de Montaigne
Descartes,Michel de Montaigne
Pierre Charron,Michel de Montaigne
Friedrich Nietzsche,Michel de Montaigne
Jean-Fran\xc3\xa7ois Lyotard,Michel de Montaigne
Ralph Waldo Emerson,Michel de Montaigne
Blaise Pascal,Michel de Montaigne
Gore Vidal,Michel de Montaigne
Jean-Jacques Rousseau,Michel de Montaigne
Albert Hirschman,Michel de Montaigne
William Hazlitt,Michel de Montaigne
Eric Hoffer,Michel de Montaigne
Albert Camus,Michel de Montaigne
Michel Onfray,Michel de Montaigne
Jos\xc3\xa9 Saramago,Michel de Montaigne
Montesquieu,Aristotle
Montesquieu,Cicero
Montesquieu,Thomas Hobbes
Montesquieu,Polybius
Montesquieu,Descartes
Montesquieu,Nicolas Malebranche
Montesquieu,Jean Bodin
Montesquieu,John Locke
Montesquieu,Acts of Union 1707
David Hume,Montesquieu
Thomas Paine,Montesquieu
Jean-Jacques Rousseau,Montesquieu
Edmund Burke,Montesquieu
United States Constitution,Montesquieu
Hegel,Montesquieu
Alexis de Tocqueville,Montesquieu
\xc3\x89mile Durkheim,Montesquieu
Hannah Arendt,Montesquieu
Adam Ferguson,Montesquieu
G. E. Moore,Gottlob Frege
G. E. Moore,J. M. E. McTaggart
G. E. Moore,Bertrand Russell
G. E. Moore,Henry Sidgwick
G. E. Moore,Leonard Woolf
G. E. Moore,James Ward (psychologist)
G. E. Moore,George Stout
Bertrand Russell,G. E. Moore
Ludwig Wittgenstein,G. E. Moore
W. D. Ross,G. E. Moore
J. L. Austin,G. E. Moore
John Maynard Keynes,G. E. Moore
Max Black,G. E. Moore
Susan Stebbing,G. E. Moore
R. B. Braithwaite,G. E. Moore
Gaetano Mosca,Aristotle
Gaetano Mosca,Max Weber
Gaetano Mosca,Vilfredo Pareto
Gaetano Mosca,Karl Marx
Robert Michels,Gaetano Mosca
Joseph Schumpeter,Gaetano Mosca
Seymour Martin Lipset,Gaetano Mosca
C. Wright Mills,Gaetano Mosca
Emmanuel Mounier,Plato
Emmanuel Mounier,Henri Bergson
Emmanuel Mounier,Charles P\xc3\xa9guy
Emmanuel Mounier,Marc Sangnier
Ngo Dinh Nhu,Emmanuel Mounier
Abb\xc3\xa9 Pierre,Emmanuel Mounier
School of Names,Mozi
Philosophy,Mozi
Mulla Sadra,Shahab al-Din Suhrawardi
Mulla Sadra,Mir Damad
Mulla Sadra,Avicenna
Mulla Sadra,Bah\xc4\x81\xca\xbe al-d\xc4\xabn al-\xca\xbf\xc4\x80mil\xc4\xab
Mulla Sadra,Sheykh Baha\'i
Muhammad Husayn Tabatabaei,Mulla Sadra
Ruhollah Khomeini,Mulla Sadra
Morteza Motahhari,Mulla Sadra
Abul A\'la Maududi,Mulla Sadra
Iris Murdoch,Plato
Iris Murdoch,G.E. Moore
Iris Murdoch,Simone Weil
Iris Murdoch,Jean-Paul Sartre
Iris Murdoch,Philippa Foot
Iris Murdoch,Stuart Hampshire
Philippa Foot,Iris Murdoch
Elizabeth Anscombe,Iris Murdoch
Martha Nussbaum,Iris Murdoch
Ernest Nagel,Rudolf Carnap
Ernest Nagel,Morris Raphael Cohen
Patrick Suppes,Ernest Nagel
Isaac Levi,Ernest Nagel
Henry Kyburg,Ernest Nagel
Douglas Hofstadter,Ernest Nagel
Mario Bunge,Ernest Nagel
Otto Neurath,Ernst Mach
Berlin Circle,Otto Neurath
Vienna Circle,Otto Neurath
John O\'Neill (philosopher),Otto Neurath
John Henry Newman,Aristotle
John Henry Newman,Plato
John Henry Newman,Socrates
John Henry Newman,Augustine of Hippo
John Henry Newman,St. Thomas Aquinas
John Henry Newman,Dante Alighieri
John Henry Newman,St. Thomas More
John Henry Newman,Cicero
John Henry Newman,Clement of Alexandria
John Henry Newman,Tertullian
John Henry Newman,Origen
John Henry Newman,Athanasius of Alexandria
John Henry Newman,Basil of Caesarea
John Henry Newman,David Hume
John Henry Newman,Edmund Burke
John Henry Newman,John Locke
John Henry Newman,Joseph Butler
John Henry Newman,Richard Whately
Alvin Plantinga,John Henry Newman
Matthew Arnold,John Henry Newman
Gerard Manley Hopkins,John Henry Newman
Bernard Lonergan,John Henry Newman
Pope Benedict XVI,John Henry Newman
Pope Francis,John Henry Newman
Alasdair MacIntyre,John Henry Newman
Jaroslav Pelikan,John Henry Newman
Linda Zagzebski,John Henry Newman
G. K. Chesterton,John Henry Newman
J. R. R. Tolkien,John Henry Newman
C. S. Lewis,John Henry Newman
Hilaire Belloc,John Henry Newman
Oscar Wilde,John Henry Newman
Ronald Knox,John Henry Newman
James Joyce,John Henry Newman
Nicholas of Cusa,Albertus Magnus
Nicholas of Cusa,Thomas Aquinas
Nicholas of Cusa,Bonaventure
Nicholas of Cusa,Plato
Nicholas of Cusa,Aristotle
Nicholas of Cusa,Pythagoreanism
Nicholas of Cusa,Meister Eckhart
Nicholas of Cusa,Pseudo-Dionysius
Nicholas of Cusa,Proclus
Nicholas of Cusa,Plotinus
Nicholas of Cusa,Johannes Scottus Eriugena
Nicholas of Cusa,Ramon Llull
Nicholas of Cusa,Gemistus Pletho
Pico della Mirandola,Nicholas of Cusa
Ludwig von Bertalanffy,Nicholas of Cusa
Giordano Bruno,Nicholas of Cusa
Leibniz,Nicholas of Cusa
M\xc3\xa1rio Ferreira dos Santos,Nicholas of Cusa
Roberto Mangabeira Unger,Nicholas of Cusa
Karl Jaspers,Nicholas of Cusa
Harry Mulisch,Nicholas of Cusa
Friedrich Nietzsche,Fyodor Dostoyevsky
Friedrich Nietzsche,J. W. von Goethe
Friedrich Nietzsche,Ralph Waldo Emerson
Friedrich Nietzsche,Heraclitus
Friedrich Nietzsche,Mainl\xc3\xa4nder
Friedrich Nietzsche,Parmenides
Friedrich Nietzsche,Johann Gottfried Herder
Friedrich Nietzsche,French moralists
Friedrich Nietzsche,Friedrich Wilhelm Ritschl
Friedrich Nietzsche,Arthur Schopenhauer
Friedrich Nietzsche,Charles Darwin
Friedrich Nietzsche,Baruch Spinoza
Friedrich Nietzsche,Richard Wagner
Friedrich Nietzsche,Johann Joachim Winckelmann
Theodor W. Adorno,Friedrich Nietzsche
Georges Bataille,Friedrich Nietzsche
Albert Camus,Friedrich Nietzsche
Emil Cioran,Friedrich Nietzsche
Gilles Deleuze,Friedrich Nietzsche
Jacques Derrida,Friedrich Nietzsche
Michel Foucault,Friedrich Nietzsche
Sigmund Freud,Friedrich Nietzsche
Paul Feyerabend,Friedrich Nietzsche
Carl Schmitt,Friedrich Nietzsche
Julius Evola,Friedrich Nietzsche
Martin Heidegger,Friedrich Nietzsche
Muhammad Iqbal,Friedrich Nietzsche
Carl Jung,Friedrich Nietzsche
H. L. Mencken,Friedrich Nietzsche
Richard Rorty,Friedrich Nietzsche
Ayn Rand,Friedrich Nietzsche
Rainer Maria Rilke,Friedrich Nietzsche
Jean-Paul Sartre,Friedrich Nietzsche
Oswald Spengler,Friedrich Nietzsche
Leo Strauss,Friedrich Nietzsche
Bernard Williams,Friedrich Nietzsche
